year,category,verbatim
2014,Funding Adequacy & Policy,"Contribution deficiency $497,272"
2014,Funding Adequacy & Policy,"The most significant factor increasing the unfunded liability was the $6.4 billion due to changes in actuarial assumptions, primarily the investment return. The assumed rate of investment return was lowered from 8.0 percent to 7.5 percent. The real rate of return component of the investment return assumption was lowered from 4.75 percent to 4.5 percent, and the inflation component was lowered from 3.25 percent to 3.0 percent."
2014,Funding Adequacy & Policy,The net increase in the 2014 unfunded liability of $5.9 billion was caused by a combination of factors. The first factor shown in the table is the difference between actual employer/state contributions and the amount that would cover the cost of benefits earned during the year and keep the prior year’s unfunded liability from growing. That shortfall was $1.6 billion.
2014,Funding Adequacy & Policy,"The actuarial unfunded liability was $61.6 billion at June 30, 2014."
2014,Funding Adequacy & Policy,"At June 30, 2014 the remaining GASB amortization period is 30 years."
2014,Funding Adequacy & Policy,"Public Act 97-0695 was signed into law on June 21, 2012. Effective July 1, 2013, all retirees within state retirement systems began paying a premium for health and vision benefits at a rate determined by CMS. Due to an Illinois Supreme Court decision in July of 2014, Public Act 97-0695 was suspended and the collection of premiums was stopped."
2014,Funding Adequacy & Policy,Net pension liability as a percentage of covered-employee payroll 639.8%
2014,Funding Adequacy & Policy,"The funding objective under the Illinois Pension Code is to Achieve 90% funding by 2045. The 2045 objective was set in 1994 as a 50 year objective. While TRS members have always contributed their share, the State funding has been less than adequate to make progress in the funding of the plan."
2014,Funding Adequacy & Policy,"The 2014 CAFR reveals that despite its standing as one of the largest retirement systems in the United States and one of the top 100 funds worldwide, TRS continues to face significant financial challenges caused by decades of consistent underfunding by state government."
2014,Funding Adequacy & Policy,Plan fiduciary net position as a percentage of the total pension liability 43.0%
2014,Funding Adequacy & Policy,"Despite a long-term unfunded liability created by historically inadequate state funding, throughout its 75 years TRS has diligently kept the retirement promises made by state government to Illinois’ educators, and is working to secure those promises into the future."
2014,Funding Adequacy & Policy,"By all accounts, the long-term funded status of TRS is among the worst in the nation."
2014,Funding Adequacy & Policy,"TRS remains a respected entity in institutional investing, but over time its growing unfunded liability will increasingly hamper its effectiveness for all members – those that are retired and those who are active educators."
2014,Funding Adequacy & Policy,"Led by the Board of Trustees, TRS has consistently warned that growing pension obligations and state government’s consistent inability to provide actuarially adequate funding could lead to a calamity in less than 25 years."
2014,Funding Adequacy & Policy,There is a difference between these amounts because actual contributions are based on state statute under a methodology that does not conform to that used to determine the actuarially determined contribution.
2014,Funding Adequacy & Policy,A large unfunded liability threatens our ability to continue the investment returns that are vital to the System’s security.
2014,Funding Adequacy & Policy,"Depending on whether the total net deferral is an investment gain or loss, the smoothing method will produce a contribution rate that is more or less than the rate based on the market value."
2014,Funding Adequacy & Policy,"As of the June 30, 2014 valuation the total net deferral is a $3,673,617,253 gain, resulting in a contribution that is higher than it would be if the assets were valued at market."
2014,Funding Adequacy & Policy,"By 2045, Tier I would be 76 percent funded and Tier II would be 139 percent funded, with the combined plan attaining the 90 percent target funded ratio."
2014,Funding Adequacy & Policy,"Without any changes to correct the imbalance between spending and revenue, TRS may not be able to pay the retirement benefits promised to our members by the State of Illinois."
2014,Funding Adequacy & Policy,"A key feature of this act is the “continuing appropriation” language that requires State contributions to be made automatically to TRS, provided State funds are available."
2014,Funding Adequacy & Policy,The contribution requirements of SERS members and the State are established by state statute and may be amended by action of the General Assembly and the Governor.
2014,Funding Adequacy & Policy,"The additional amount needed (the unfunded actuarial accrued liability) as calculated by the actuary was $61.6 billion in FY14, based on the actuarial value of assets."
2014,Funding Adequacy & Policy,"On December 5, 2013, Governor Pat Quinn signed into law Public Act 98-0599. This new law significantly altered the funding structure of TRS and reduced the retirement benefits for Tier I members. The act was set to take effect on June 1, 2014."
2014,Actuarial & Measurement Risk,"The most significant factor increasing the unfunded liability was the $6.4 billion due to changes in actuarial assumptions, primarily the investment return. The assumed rate of investment return was lowered from 8.0 percent to 7.5 percent. The real rate of return component of the investment return assumption was lowered from 4.75 percent to 4.5 percent, and the inflation component was lowered from 3.25 percent to 3.0 percent."
2014,Actuarial & Measurement Risk,"The actuarial unfunded liability was $61.6 billion at June 30, 2014."
2014,Actuarial & Measurement Risk,"At June 30, 2014 the remaining GASB amortization period is 30 years."
2014,Actuarial & Measurement Risk,The expected benefit payments do not equal the present value of the reserve.
2014,Actuarial & Measurement Risk,There is a difference between these amounts because actual contributions are based on state statute under a methodology that does not conform to that used to determine the actuarially determined contribution.
2014,Actuarial & Measurement Risk,"Depending on whether the total net deferral is an investment gain or loss, the smoothing method will produce a contribution rate that is more or less than the rate based on the market value."
2014,Actuarial & Measurement Risk,"As of the June 30, 2014 valuation the total net deferral is a $3,673,617,253 gain, resulting in a contribution that is higher than it would be if the assets were valued at market."
2014,Actuarial & Measurement Risk,"By 2045, Tier I would be 76 percent funded and Tier II would be 139 percent funded, with the combined plan attaining the 90 percent target funded ratio."
2014,Actuarial & Measurement Risk,"The additional amount needed (the unfunded actuarial accrued liability) as calculated by the actuary was $61.6 billion in FY14, based on the actuarial value of assets."
2014,"Market, Liquidity & Valuation","Due to the level of risk associated with certain investment securities, it is at least reasonably possible that value changes will occur in the near-term and such changes could materially affect the amounts reported in the Statement of Fiduciary Net Position."
2014,"Market, Liquidity & Valuation",Interest rate risk is the risk that changes in interest rates will adversely affect the fair value of an investment.
2014,"Market, Liquidity & Valuation",Foreign currency risk is the risk that changes in exchange rates will adversely impact the fair value of an investment.
2014,"Market, Liquidity & Valuation","Depending on whether the total net deferral is an investment gain or loss, the smoothing method will produce a contribution rate that is more or less than the rate based on the market value."
2014,"Market, Liquidity & Valuation","Market risk is the possibility that a change in interest, currency or other pertinent market rates will cause the value of a financial instrument to decrease or become more costly to settle."
2014,"Market, Liquidity & Valuation","To varying degrees, derivative transactions involve credit risk, sometimes known as default or counterparty risk, and market risk."
2014,"Market, Liquidity & Valuation","As of the June 30, 2014 valuation the total net deferral is a $3,673,617,253 gain, resulting in a contribution that is higher than it would be if the assets were valued at market."
2014,"Market, Liquidity & Valuation","TRS investments are diversified and include various investment securities. Investment securities are exposed to a variety of risk including credit, market and interest rate risk."
