year,category,verbatim
2023,Funding Adequacy & Policy,"Additionally, the actuarial accrued liability and the employer’s normal cost would be calculated under the entry age normal actuarial cost method, which is the most commonly used method in the public sector. Entry age would assign costs more evenly over an employee’s normal career. It would replace the projected unit credit actuarial cost method that is required under Illinois law. The projected unit credit method has the effect of delaying the cost of a member’s service and deferring contributions, thereby leading to higher costs in the long run."
2023,Funding Adequacy & Policy,"Among the other assumptions, Cheiron recommended future stress testing on the impact of the state contribution."
2023,Funding Adequacy & Policy,"The actuarially determined net pension liability, calculated as required by GASB Statement No. 67, Financial Reporting for Pension Plans, is dependent on several assumptions including the assumption that future required contributions from all sources are made based on statutory requirements in existence as of the date of this report."
2023,Funding Adequacy & Policy,The first factor shown in the reconciliation table is the difference between actual employer/state contributions and the amount that would cover the employer/state's cost of benefits earned during the year and prevent the prior year’s unfunded liability from growing. That shortfall was $565 million.
2023,Funding Adequacy & Policy,State contributions rates reflect recertifications and may not agree with original certifications in actuarial reports.
2023,Funding Adequacy & Policy,"Until June 30, 2026, inactive members with five years of TRS service can take a lump-sum payment of 60% of the present value of their future benefit payments. Buyout payments are contingent upon sufficient bond proceeds being available."
2023,Funding Adequacy & Policy,"Until June 30, 2026, inactive members with 10 years of TRS service can take a lump-sum payment of 60% of the present value of their future benefit payments. Buyout payments are contingent upon sufficient bond proceeds being available."
2023,Funding Adequacy & Policy,Totals shown are rates certified by the TRS Board of Trustees based on estimated payrolls and may not total due to rounding.
2023,Funding Adequacy & Policy,Actual amounts collected do not equal amounts estimated by actuaries due to differences between estimated and actual payroll.
2023,Funding Adequacy & Policy,Due to the System’s low funded ratio – 44.8 percent – the TRS Board of Trustees employs a conservative investment strategy to reasonably offset further declines in the ratio should markets underperform.
2023,Funding Adequacy & Policy,"Due to the under-funded status of TRS, the System’s primary objective is to protect member assets against large market downturns caused by economic unpredictability, as experienced within the year."
2023,Funding Adequacy & Policy,The methods mandated by the Illinois Pension Code as described in the Funding Adequacy section are inadequate to appropriately fund TRS.
2023,Funding Adequacy & Policy,"The State funding has been inadequate, resulting in TRS being among the worst funded public employee retirement systems in the United States."
2023,Funding Adequacy & Policy,"In summary, the $1.3 billion increase in the unfunded liability is the net effect of the $0.6 billion employer cost in excess of contributions and the $0.7 billion loss due to experience."
