year,category,verbatim
2013,Funding Adequacy & Policy,"Assets are expected to earn 8.0 percent. This item is the difference between the expected and the actual return on an actuarial ba-
sis. For example, in fiscal year 2013, the expected actuarial returns of $2.987 billion was greater than the $1.430 billion actual return on assets, resulting in an actuarial loss which increased the unfunded pension benefit obligation by $1.557 billion."
2013,Funding Adequacy & Policy,"The  employer  cost  in  excess  of  contributions  is  the  shortfall  between  actual  employer  contributions  and  the amount needed to cover the cost of benefits earned during the year and to keep the unfunded liability from growing. In 2013, this shortfall was $2.1 billion and in 2012 it was $2.7 billion."
2013,Funding Adequacy & Policy,"By all accounts, the long-term funded status of TRS is worst in the nation."
2013,Funding Adequacy & Policy,The expected benefit payments do not equal the present value of the reserve.
2013,Funding Adequacy & Policy,"On December 5, 2013, Governor Pat Quinn signed Public Act 98-0599 into law. This new law takes effect no earlier than June 1, 2014 and would significantly alter the overall  funding structure of TRS and reduce retirement benefits for Tier I members."
2013,Funding Adequacy & Policy,The obligations owed members over the next several decades have increased by 162 percent since 2000.
2013,Funding Adequacy & Policy,"TRS remains a major entity in institutional investing and the world economy, but over time its growing unfunded liability will increasingly threaten its sustainability for all members – those that are retired and those who are active educators."
2013,Funding Adequacy & Policy,A large unfunded liability threatens investment returns that are vital to the retirement system’s security.
2013,Funding Adequacy & Policy,"The net increase in the June 30, 2013, unfunded liability of $3.6 billion was caused by a combination of factors."
2013,Funding Adequacy & Policy,Delayed reporting of retirements also increased the unfunded liability because more people were receiving benefits than expected.
2013,Funding Adequacy & Policy,TRS has consistently warned that a growing pension debt and state government’s consistent inability to provide actuarially adequate funding will lead to calamity in less than 25 years.
2013,Funding Adequacy & Policy,The decline in the funded ratio was due to an increase in the liability mainly due to the continued phase-in of prior investment losses.
2013,Funding Adequacy & Policy,"Public Act 97-0695 was signed into law on June 21, 2012. Effective July 1, 2013, all retirees will begin incurring a cost for health and vision benefits at a rate determined by CMS."
2013,Funding Adequacy & Policy,"Without any changes to correct the imbalance between spending and revenue, TRS predicts that obligations could exceed resources as early as 2034."
2013,Funding Adequacy & Policy,TRS continues to face significant financial challenges in the future unless the State of Illinois takes action to counteract decades of consistent underfunding by state government.
2013,Funding Adequacy & Policy,"TRS's funded ratio at the end of the fiscal year stood at 40.6 percent, on an actuarial basis, with a total long-term unfunded liability of $55.7 billion."
2013,Funding Adequacy & Policy,The 2012 valuation reflected changes in actuarial assumptions resulting from the five-year experience review and caused a net increase of $4.6 billion in the unfunded liability.
2013,Funding Adequacy & Policy,"The additional amount needed (the unfunded actuarial accrued liability) as calculated by the actuary was $55,731,797,000 in 2013 and $52,079,548,000 in 2012."
2013,Funding Adequacy & Policy,"Going forward, these financial challenges undermine the state’s legal and moral responsibility to make retirement promises that can be kept and to fully fund these promises."
2013,Funding Adequacy & Policy,"A key feature of this act is the “continuing appropriation” language that requires state contributions to be made automatically to TRS, provided state funds are available."
2013,Actuarial & Measurement Risk,"Salary increases for continuing active members were $413 million lower than expected in 2013 and $1.2 billion lower than expected in 2012. Under the investment return assumption, losses occurred both years. In FY13, smoothed assets were assumed to earn $3.0 billion, but earnings were actually $1.4 billion. The actuarial loss due to investments was $1.6 billion in FY13, compared to a loss of $1.8 billion in FY12."
2013,Actuarial & Measurement Risk,"Assets are expected to earn 8.0 percent. This item is the difference between the expected and the actual return on an actuarial ba-
sis. For example, in fiscal year 2013, the expected actuarial returns of $2.987 billion was greater than the $1.430 billion actual return on assets, resulting in an actuarial loss which increased the unfunded pension benefit obligation by $1.557 billion."
2013,Actuarial & Measurement Risk,The expected benefit payments do not equal the present value of the reserve.
2013,Actuarial & Measurement Risk,"In  both  years,  actuarial  losses  occurred  under  the  mortality  assumptions because  fewer  people  died  than expected. Actuarial losses were also incurred under the turnover assumption because fewer people left service than assumed."
2013,Actuarial & Measurement Risk,"The net increase in the June 30, 2013, unfunded liability of $3.6 billion was caused by a combination of factors."
2013,Actuarial & Measurement Risk,Delayed reporting of retirements also increased the unfunded liability because more people were receiving benefits than expected.
2013,Actuarial & Measurement Risk,"Management has not fully determined what impact, if any, these Statements may have on its financial statements; however, GASB Statements 67 and 68 are expected to have a material impact."
2013,Actuarial & Measurement Risk,"Other, which is a balancing item, reflects actuarial losses in both 2013 and 2012. Other includes retirements in 2013 that were reported late to the actuary and several other factors."
2013,Actuarial & Measurement Risk,The decline in the funded ratio was due to an increase in the liability mainly due to the continued phase-in of prior investment losses.
2013,Actuarial & Measurement Risk,The 2012 valuation reflected changes in actuarial assumptions resulting from the five-year experience review and caused a net increase of $4.6 billion in the unfunded liability.
2013,Actuarial & Measurement Risk,"The additional amount needed (the unfunded actuarial accrued liability) as calculated by the actuary was $55,731,797,000 in 2013 and $52,079,548,000 in 2012."
2013,"Market, Liquidity & Valuation",The value may be either positive or negative.
2013,"Market, Liquidity & Valuation","For the year ended June 30, 2013, TRS earned net income of $13.9 million through its securities lending program. The decrease from prior year was driven primarily by a weaker securities lending market. The global equity rally, combined with the uncertainty of regulatory changes, resulted in the market producing fewer short posi-
tions required to be covered by broker/dealers. The securities lending market experienced significant spread compression, or decrease in lending fees, creating a reduction in hard to borrow “specials” resulting in lower return to lendable."
2013,"Market, Liquidity & Valuation","Due to the level of risk associated with certain investment securities, it is at least reasonably possible that value changes will occur in the near-term and such changes could materially affect the amounts reported in the Statements of Net Position."
2013,"Market, Liquidity & Valuation","et rates will cause the value 
of a financial instrument to decrease or become more costly to settle."
2013,"Market, Liquidity & Valuation","Investment securities are exposed to a variety of risk including credit, market and interest rate risk."
2013,"Market, Liquidity & Valuation",Both interest rate and inflation rate swaps have fair values that are sensitive to interest rate changes.
2013,"Market, Liquidity & Valuation","As a writer of financial options, TRS receives a premium at the outset of the agreement and bears the risk of an unfavorable change in the price of the financial instrument underlying the option."
2013,"Market, Liquidity & Valuation","Successful implementation of this target is subject to many factors, including public market performance and sufficient availability of high quality private equity opportunities in the market."
2013,"Market, Liquidity & Valuation","Imposing limits on the types, amounts, and 
degree of risk that investment managers may undertake restricts the market risk associated with the constantly 
fluctuating prices of derivatives."
2013,"Market, Liquidity & Valuation","Emerging equity markets were hampered by fears of a hard landing in China as it transitions its economy from a direct investment economy to a more service-oriented, domestic-based economy."
2013,"Market, Liquidity & Valuation","To varying degrees, derivative transactions involve credit risk, sometimes known as default or counterparty risk, and market risk."
