year,category,verbatim
2024,Funding Adequacy & Policy,"If the plan’s fiduciary net position is not sufficient to cover all benefit payments to current plan members, GASB Statement No. 67 requires the discount rate to be different from the assumed rate of return. Instead, the discount rate would be a blended rate, which includes the long-term expected rate of return and a municipal bond rate (the Bond Buyer's 20-Bond GO Index) as of the end of the current fiscal year."
2024,Funding Adequacy & Policy,"While we have seen significant improvement, the System’s funded ratio remains low."
2024,Funding Adequacy & Policy,The $1.7 billion net increase in the 2024 unfunded liability was caused by a combination of factors. The first factor shown in the reconciliation table is the difference between actual employer/state contributions and the amount that would cover the employer/state's cost of benefits earned during the year and prevent the prior year’s unfunded liability from growing. That shortfall was $525 million.
2024,Funding Adequacy & Policy,"The actuarially determined net pension liability, calculated as required by GASB Statement No. 67, Financial Reporting for Pension Plans, is dependent on several assumptions including the assumption that future required contributions from all sources are made based on statutory requirements in existence as of the date of this report."
2024,Funding Adequacy & Policy,The net effect of the actuarial gains and losses was an increase in the unfunded liability of $1.3 billion.
2024,Funding Adequacy & Policy,State contributions rates reflect recertifications and may not agree with original certifications in actuarial reports.
2024,Funding Adequacy & Policy,"In summary, the $1.7 billion increase in the unfunded liability is the net effect of the $0.5 billion employer cost in excess of contributions and the $1.2 billion gain due to experience and changes in assumption."
2024,Funding Adequacy & Policy,Totals shown are rates certified by the TRS Board of Trustees based on estimated payrolls and may not total due to rounding.
2024,Funding Adequacy & Policy,There is a difference between these amounts because actual contributions are based on state statute under a methodology that does not conform to that used to determine the actuarially-determined contribution.
2024,Funding Adequacy & Policy,Actual amounts collected do not equal amounts estimated by actuaries due to differences between estimated and actual payroll.
2024,Funding Adequacy & Policy,The unfunded liability as a percentage of payroll is a standard measure of the relative size of the unfunded liability. Increases in this percentage indicate deterioration in a system’s financial position.
2024,Funding Adequacy & Policy,"Projected contributions assume that all statutorily required contributions are made, including projected contributions from members, employers and the State of Illinois (nonemployer contributing entity)."
2024,Funding Adequacy & Policy,"The unfunded actuarial accrued liability was $83.6 billion at June 30, 2024. The funded ratio was 45.8 percent at June 30, 2024."
2024,Funding Adequacy & Policy,"Due to the under-funded status of TRS, the System’s primary objective is to protect member assets against large market downturns caused by economic unpredictability, as experienced within the year."
2024,Funding Adequacy & Policy,The methods mandated by the Illinois Pension Code as described in the Funding Adequacy section are inadequate to appropriately fund TRS.
2024,Funding Adequacy & Policy,"The projected unit credit method has the effect of delaying the cost of a member’s service and deferring contributions, thereby leading to higher costs in the long run."
2024,Funding Adequacy & Policy,"The State funding has been inadequate, resulting in TRS being among the worst funded public employee retirement systems in the United States."
2024,Funding Adequacy & Policy,The additional amount needed (the unfunded actuarial accrued liability) as calculated by the actuary was $83.6 billion in FY24 based on the actuarial value of assets.
2024,Actuarial & Measurement Risk,The preparation of financial statements in conformity with accounting principles generally accepted in the United States of America requires management to make estimates and assumptions that affect the reported amounts of assets and liabilities and disclosure of contingent assets and liabilities at the date of the financial statements as well as the reported amounts of additions to and deductions from net position during the reporting period. Actual results could differ from these estimates.
2024,Actuarial & Measurement Risk,"If the plan’s fiduciary net position is not sufficient to cover all benefit payments to current plan members, GASB Statement No. 67 requires the discount rate to be different from the assumed rate of return. Instead, the discount rate would be a blended rate, which includes the long-term expected rate of return and a municipal bond rate (the Bond Buyer's 20-Bond GO Index) as of the end of the current fiscal year."
2024,Actuarial & Measurement Risk,"The actuarially determined net pension liability, calculated as required by GASB Statement No. 67, Financial Reporting for Pension Plans, is dependent on several assumptions including the assumption that future required contributions from all sources are made based on statutory requirements in existence as of the date of this report."
2024,Actuarial & Measurement Risk,"However, the projections do not include any assumptions about the utilization of Tier 3 under PA 100-0023."
2024,Actuarial & Measurement Risk,The net effect of the actuarial gains and losses was an increase in the unfunded liability of $1.3 billion.
2024,Actuarial & Measurement Risk,"In summary, the $1.7 billion increase in the unfunded liability is the net effect of the $0.5 billion employer cost in excess of contributions and the $1.2 billion gain due to experience and changes in assumption."
2024,Actuarial & Measurement Risk,The accuracy of the results presented in this report is dependent upon the accuracy and completeness of the underlying information.
2024,Actuarial & Measurement Risk,Segal does not audit the data provided. The accuracy and comprehensiveness of the data is the responsibility of those supplying the data.
2024,Actuarial & Measurement Risk,"The projected unit credit method has the effect of delaying the cost of a member’s service and deferring contributions, thereby leading to higher costs in the long run."
2024,"Market, Liquidity & Valuation","TRS’s realized loss on futures contracts was $10,406,291 during FY24."
2024,"Market, Liquidity & Valuation","TRS investments are diversified and include various investment securities. Investment securities are exposed to a variety of risk including credit, market and interest rate risk. Due to the level of risk associated with certain investment securities, it is at least reasonably possible that value changes will occur in the near-term and such changes could materially affect the amounts reported in the Statement of Fiduciary Net Position."
2024,"Market, Liquidity & Valuation",Redemption restrictions are in place over the life of the partnership.
2024,"Market, Liquidity & Valuation","TRS had outstanding futures contracts with a notional value, or exposure, of $254,220,629."
2024,"Market, Liquidity & Valuation","TRS is exposed to interest rate risk on various derivative instruments, including swaptions and options."
2024,"Market, Liquidity & Valuation",Interest rate risk is the risk that changes in interest rates will adversely affect the fair value of an investment.
2024,"Market, Liquidity & Valuation",Foreign currency risk is the risk that changes in exchange rates will adversely impact the fair value of an investment.
2024,"Market, Liquidity & Valuation","These partnerships are not eligible for redemption, considered illiquid and have an approximate life of six to 20 years."
2024,"Market, Liquidity & Valuation",Investments in limited partnerships are normally long-term with an approximate life of 10 to 15 years and considered illiquid.
